Player-ID,Player,Team,Position,Minutes Played,Passes,Completed passes,Accuracy,Completed passes / 90
66,Casemiro ,Brazil,MF,425,224,200,89%,42.35
195,Elliot Anderson,England ,MF,713,445,396,89%,49.99
459,Djibril Sow,Switzerland,MF,276,97,83,86%,27.07
512,Akmal Mozgovoy,Uzbekistan,MF,243,79,65,82%,24.07
249,Saman Ghoddos,IR Iran,MF,228,64,45,70%,17.76
55,Hans Vanaken,Belgium,MF,362,164,153,93%,38.04
515,Dostonbek Khamdamnov,Uzbekistan,MF,120,34,29,85%,21.75
44,Xaver Schlager,Austria ,MF,265,138,130,94%,44.15
282,Mohannad Abutaha,Jordan,MF,296,87,59,68%,17.94
423,Pape Gueye,Senegal,MF,257,161,138,86%,48.33
111,Juan Quintero,Colombia,MF,146,89,74,83%,45.62
91,Willy Semedo,Cabo Verde,MF,156,33,30,91%,17.31
364,Pedri ,Spain ,MF,565,469,420,90%,66.9
228,Elisha Owusu ,Ghana ,MF,166,58,50,86%,27.11
123,Edo Kayembe,Congo DR,MF,177,41,35,85%,17.8
384,Miguel Almiron ,Paraguay,MF,306,67,56,73%,16.47
42,Romano Schmid,Austria ,MF,283,91,65,71%,20.67
254,Amir Alammari,Iraq,MF,128,125,99,79%,69.61
141,Peter Sucic,Croatia ,MF,338,127,110,87%,29.29
378,Matias Galarza,Paraguay,MF,439,113,82,73%,16.81
80,Tarik Muharemovic,BIH,MF,292,153,132,86%,40.68
357,Bernardo Silva,Portugal ,MF,133,59,55,93%,37.22
327,Frenkie De Jong ,Netherlands,MF,360,243,224,92%,56.0
453,Johan Manzambi,Switzerland,MF,220,54,43,80%,17.59
251,Saeid Ezatolahi,IR Iran,MF,298,99,78,79%,23.56
416,Kenny Mclean ,Scotland,MF,144,63,56,89%,35.0
460,Fabian Rieder,Switzerland,MF,332,87,71,82%,19.25
161,Michal Sadilek ,Czechia,MF,204,84,69,82%,30.44
310,Chemsdine Talbi,Morocco ,MF,217,54,47,87%,19.49
410,Mohamed Kanno ,Saudi Arabia ,MF,256,104,97,93%,34.1
202,Warren Zaire Emery,France ,MF,128,70,66,94%,46.41
324,Teun Koopmeiners,Netherlands,MF,145,63,54,86%,33.52
156,Tahith Chong,Curacao,MF,267,61,51,84%,17.19
169,Tomas Soucek,Czechia,MF,152,44,35,80%,20.72
209,Manu Kone,France ,MF,426,263,242,92%,51.13
422,Scott Mctominay,Scotland,MF,306,96,87,91%,25.59
266,Junya Ito,Japan,MF,242,85,65,76%,24.17
142,Nikola Vlasic,Croatia ,MF,204,40,33,83%,14.56
426,Lamine Camara,Senegal,MF,287,131,117,92%,36.69
267,Daizen Maeda,Japan,MF,271,30,28,93%,9.3
242,Jean Ricner Bellegarde,Haiti,MF,293,130,112,86%,34.4
412,John Mcginn,Scotland,MF,277,55,47,85%,15.27
